Регион	Месторождение	Площадь	Скважина	Координата X	Координата Y
Регион1	Месторождение1	Площадь1	106	19872.0	22485.0
Регион1	Месторождение1	Площадь1	107	20269.0	22482.0
Регион1	Месторождение1	Площадь1	108	20468.0	22290.0
Регион1	Месторождение1	Площадь1	109	18466.0	23484.0
Регион1	Месторождение1	Площадь1	110	21468.36	22481.83
Регион1	Месторождение1	Площадь1	111	17282.0	21891.0
Регион1	Месторождение1	Площадь1	112	17873.0	22089.0
Регион1	Месторождение1	Площадь1	113	18270.0	22086.0
Регион1	Месторождение1	Площадь1	114	18739.0	22081.0
Регион1	Месторождение1	Площадь1	115	19079.0	22082.0
Регион1	Месторождение1	Площадь1	116	19256.0	21896.0
Регион1	Месторождение1	Площадь1	117	19879.64	22093.27
Регион1	Месторождение1	Площадь1	118	19996.73	21912.77
Регион1	Месторождение1	Площадь1	119	20468.0	21900.0
Регион1	Месторождение1	Площадь1	120	21064.47	22093.49
Регион1	Месторождение1	Площадь1	121	21468.52	22087.43
Регион1	Месторождение1	Площадь1	122	17269.0	21484.0
Регион1	Месторождение1	Площадь1	123	18865.0	23484.0
Регион1	Месторождение1	Площадь1	124	18063.0	21481.0
Регион1	Месторождение1	Площадь1	125	19474.0	23484.0
Регион1	Месторождение1	Площадь1	126	18871.0	21474.0
Регион1	Месторождение1	Площадь1	127	19671.0	23484.0
Регион1	Месторождение1	Площадь1	128	19646.0	21528.0
Регион1	Месторождение1	Площадь1	129	20064.14	23484.0
Регион1	Месторождение1	Площадь1	130	20414.0	21551.0
Регион1	Месторождение1	Площадь1	131	21067.34	23684.0
Регион1	Месторождение1	Площадь1	132	21259.0	21536.0
Регион1	Месторождение1	Площадь1	133	17482.0	22084.0
Регион1	Месторождение1	Площадь1	134	17669.0	21884.0
Регион1	Месторождение1	Площадь1	135	18057.0	21884.0
Регион1	Месторождение1	Площадь1	136	18466.0	21884.0
Регион1	Месторождение1	Площадь1	137	18865.0	21884.0
Регион1	Месторождение1	Площадь1	138	19474.0	22084.0
Регион1	Месторождение1	Площадь1	139	19671.0	21884.0
Регион1	Месторождение1	Площадь1	140	20264.14	22084.0
Регион1	Месторождение1	Площадь1	141	20867.34	21884.0
Регион1	Месторождение1	Площадь1	142	21260.03	21884.0
Регион1	Месторождение1	Площадь1	143	17479.0	21684.0
Регион1	Месторождение1	Площадь1	144	17482.0	22484.0
Регион1	Месторождение1	Площадь1	145	21460.03	23684.0
Регион1	Месторождение1	Площадь1	146	18057.0	22284.0
Регион1	Месторождение1	Площадь1	147	17279.0	23484.0
Регион1	Месторождение1	Площадь1	148	18865.0	22284.0
Регион1	Месторождение1	Площадь1	149	17082.0	24084.0
Регион1	Месторождение1	Площадь1	150	19671.0	22284.0
Регион1	Месторождение1	Площадь1	151	17869.0	24084.0
Регион1	Месторождение1	Площадь1	152	20867.34	22284.0
Регион1	Месторождение1	Площадь1	153	18257.0	24084.0
Регион1	Месторождение1	Площадь1	154	17079.0	22284.0
Регион1	Месторождение1	Площадь1	155	17282.0	22684.0
Регион1	Месторождение1	Площадь1	156	17676.0	25483.0
Регион1	Месторождение1	Площадь1	157	18471.0	25491.0
Регион1	Месторождение1	Площадь1	158	19263.0	25487.0
Регион1	Месторождение1	Площадь1	159	20069.0	25487.0
Регион1	Месторождение1	Площадь1	160	20865.0	25485.0
Регион1	Месторождение1	Площадь1	161	17667.0	24677.0
Регион1	Месторождение1	Площадь1	162	18476.0	24688.0
Регион1	Месторождение1	Площадь1	163	19267.0	24686.0
Регион1	Месторождение1	Площадь1	164	20064.0	24689.0
Регион1	Месторождение1	Площадь1	165	18466.0	23878.0
Регион1	Месторождение1	Площадь1	166	17669.0	23890.0
Регион1	Месторождение1	Площадь1	167	17669.0	23084.0
Регион1	Месторождение1	Площадь1	168	20868.0	24689.0
Регион1	Месторождение1	Площадь1	169	18666.0	23284.0
Регион1	Месторождение1	Площадь1	170	20867.34	23883.5
Регион1	Месторождение1	Площадь1	171	17874.85	23314.07
Регион1	Месторождение1	Площадь1	172	18468.0	23096.0
Регион1	Месторождение1	Площадь1	173	19272.0	23093.0
Регион1	Месторождение1	Площадь1	174	20266.0	23288.0
Регион1	Месторождение1	Площадь1	175	20865.74	23094.26
Регион1	Месторождение1	Площадь1	176	17671.0	22286.0
Регион1	Месторождение1	Площадь1	177	18458.0	22272.0
Регион1	Месторождение1	Площадь1	178	17669.0	23484.0
Регион1	Месторождение1	Площадь1	179	18257.0	23684.0
Регион1	Месторождение1	Площадь1	180	21066.0	22490.0
Регион1	Месторождение1	Площадь1	181	17680.0	21487.0
Регион1	Месторождение1	Площадь1	182	18472.0	21468.0
Регион1	Месторождение1	Площадь1	183	19235.0	21506.0
Регион1	Месторождение1	Площадь1	184	19996.0	21528.0
Регион1	Месторождение1	Площадь1	185	20871.0	21559.0
Регион1	Месторождение1	Площадь1	186	17869.0	22484.0
Регион1	Месторождение1	Площадь1	187	18666.0	22484.0
Регион1	Месторождение1	Площадь1	188	19474.0	22484.0
Регион1	Месторождение1	Площадь1	189	20064.14	22284.0
Регион1	Месторождение1	Площадь1	190	21260.03	22284.0
Регион1	Месторождение1	Площадь1	191	18466.0	23884.0
Регион1	Месторождение1	Площадь1	192	18865.0	23884.0
Регион1	Месторождение1	Площадь1	193	19474.0	24084.0
Регион1	Месторождение1	Площадь1	194	19871.0	24084.0
Регион1	Месторождение1	Площадь1	195	20064.14	23884.0
Регион1	Месторождение1	Площадь1	196	20867.34	23884.0
Регион1	Месторождение1	Площадь1	197	21260.03	23884.0
Регион1	Месторождение1	Площадь1	198	17279.0	23884.0
Регион1	Месторождение1	Площадь1	199	17282.0	24284.0
Регион1	Месторождение1	Площадь1	200	17869.0	24484.0
